Nom;ISIN;Type;Volume;Prix;URL
GENFIT;FR0004163111;Action;135755;2.980;/fr/marche/euronext-paris/genfit-FR0004163111-GNFT-EUR-XPAR/seance
Accor;FR0000120404;Action;813392;37.83;/fr/marche/euronext-paris/accor-FR0000120404-AC-EUR-XPAR/seance
AMUNDI;FR0004125920;Action;281805;61.95;/fr/marche/euronext-paris/amundi-FR0004125920-AMUN-EUR-XPAR/seance
Amundi CAC 40 UCITS ...;FR0013380607;Tracker;74910;34.240;/fr/marche/euronext-paris/amundi-cac-40-ucits-etf-acc-FR0013380607-CACC-EUR-XPAR/seance
Verallia;FR0013447729;Action;205243;27.10;/fr/marche/euronext-paris/verallia-FR0013447729-VRLA-EUR-XPAR/seance
Amundi CAC 40 Daily ...;FR0010411884;Tracker;22674130;0.9198;/fr/marche/euronext-paris/amundi-cac-40-daily-2x-inve-FR0010411884-BX4-EUR-XPAR/seance
Derichebourg;FR0000053381;Action;81046;5.230;/fr/marche/euronext-paris/derichebourg-FR0000053381-DBG-EUR-XPAR/seance
TF1;FR0000054900;Action;178173;8.270;/fr/marche/euronext-paris/tf1-FR0000054900-TFI-EUR-XPAR/seance
Interparfums;FR0004024222;Action;35676;35.675;/fr/marche/euronext-paris/interparfums-FR0004024222-ITP-EUR-XPAR/seance
Dassault Aviation;FR0014004L86;Action;54080;291.4;/fr/marche/euronext-paris/dassault-aviation-FR0014004L86-AM-EUR-XPAR/seance
EUROAPI;FR0014008VX5;Action;62780;2.386;/fr/marche/euronext-paris/euroapi-FR0014008VX5-EAPI-EUR-XPAR/seance
Mersen;FR0000039620;Action;49912;17.86;/fr/marche/euronext-paris/mersen-FR0000039620-MRN-EUR-XPAR/seance
SCOR SE;FR0010411983;Action;799151;23.54;/fr/marche/euronext-paris/scor-se-FR0010411983-SCR-EUR-XPAR/seance
AMUNDI ETF PEA JAPAN...;FR0013411980;Tracker;14057;25.593;/fr/marche/euronext-paris/amundi-etf-pea-japan-topix-uci-FR0013411980-PTPXE-EUR-XPAR/seance
Edenred SE;FR0010908533;Action;842816;29.68;/fr/marche/euronext-paris/edenred-se-FR0010908533-EDEN-EUR-XPAR/seance
SEB S.A.;FR0000121709;Action;48694;76.50;/fr/marche/euronext-paris/seb-s-a-FR0000121709-SK-EUR-XPAR/seance
Métropole Télévision;FR0000053225;Action;145306;13.14;/fr/marche/euronext-paris/metropole-television-FR0000053225-MMT-EUR-XPAR/seance
Viridien;FR001400PVN6;Action;81418;46.780;/fr/marche/euronext-paris/viridien-FR001400PVN6-VIRI-EUR-XPAR/seance
Eiffage S.A.;FR0000130452;Action;220596;104.35;/fr/marche/euronext-paris/eiffage-s-a-FR0000130452-FGR-EUR-XPAR/seance
Trigano;FR0005691656;Action;19416;95.70;/fr/marche/euronext-paris/trigano-FR0005691656-TRI-EUR-XPAR/seance
Amundi Nasdaq-100 Da...;FR0010342592;Tracker;10874;839.7;/fr/marche/euronext-paris/amundi-nasdaq-100-daily-2x-l-FR0010342592-LQQ-EUR-XPAR/seance
Equasens;FR0012882389;Action;9443;36.85;/fr/marche/euronext-paris/equasens-FR0012882389-EQS-EUR-XPAR/seance
Innate Pharma;FR0010331421;Action;80511;1.704;/fr/marche/euronext-paris/innate-pharma-FR0010331421-IPH-EUR-XPAR/seance
DBV Technologies;FR0010417345;Action;358687;1.206;/fr/marche/euronext-paris/dbv-technologies-FR0010417345-DBV-EUR-XPAR/seance
Nexans;FR0000044448;Action;130882;84.50;/fr/marche/euronext-paris/nexans-FR0000044448-NEX-EUR-XPAR/seance
ASML Holding N.V.;NL0010273215;Action;1068286;577.3;/fr/marche/euronext-amsterdam/asml-holding-n-v-NL0010273215-ASML-EUR-XAMS/seance
Voltalia SA;FR0011995588;Action;56617;6.285;/fr/marche/euronext-paris/voltalia-sa-FR0011995588-VLTSA-EUR-XPAR/seance
Publicis Groupe S.A.;FR0000130577;Action;715611;81.72;/fr/marche/euronext-paris/publicis-groupe-s-a-FR0000130577-PUB-EUR-XPAR/seance
Amundi STOXX Europe ...;LU1834986900;Tracker;22610;128.988;/fr/marche/euronext-paris/amundi-stoxx-europe-600-health-LU1834986900-HLT-EUR-XPAR/seance
Etablissements Maure...;FR0000051070;Action;156259;4.298;/fr/marche/euronext-paris/etablissements-maurel-prom-FR0000051070-MAU-EUR-XPAR/seance
OPmobility SE;FR0000124570;Action;77984;8.645;/fr/marche/euronext-paris/opmobility-se-FR0000124570-OPM-EUR-XPAR/seance
Legrand;FR0010307819;Action;612710;90.20;/fr/marche/euronext-paris/legrand-FR0010307819-LR-EUR-XPAR/seance
Aéroports de Paris;FR0010340141;Action;87833;96.95;/fr/marche/euronext-paris/aeroports-de-paris-FR0010340141-ADP-EUR-XPAR/seance
Arkema;FR0010313833;Action;264267;59.95;/fr/marche/euronext-paris/arkema-FR0010313833-AKE-EUR-XPAR/seance
Elior Group;FR0011950732;Action;408737;2.370;/fr/marche/euronext-paris/elior-group-FR0011950732-ELIOR-EUR-XPAR/seance
NACON;FR0013482791;Action;220838;0.4720;/fr/marche/euronext-paris/nacon-FR0013482791-NACON-EUR-XPAR/seance
AMUNDI ETF LEVERAGED...;FR0010755611;Tracker;412067;15.970;/fr/marche/euronext-paris/amundi-etf-leveraged-msci-usa-FR0010755611-CL2-EUR-XPAR/seance
AMUNDI PEA MONDE MSC...;FR001400U5Q4;Tracker;512658;4.275;/fr/marche/euronext-paris/amundi-pea-monde-msci-world-uc-FR001400U5Q4-DCAM-EUR-XPAR/seance
Rémy Cointreau;FR0000130395;Action;86956;43.70;/fr/marche/euronext-paris/remy-cointreau-FR0000130395-RCO-EUR-XPAR/seance
Casino  Guichard-Per...;FR001400OKR3;Action;224633;0.5090;/fr/marche/euronext-paris/casino-guichard-perrachon-sa-FR001400OKR3-CO-EUR-XPAR/seance
Claranova SE;FR0013426004;Action;80728;2.125;/fr/marche/euronext-paris/claranova-se-FR0013426004-CLA-EUR-XPAR/seance
Amundi STOXX Europe ...;LU1834988518;Tracker;14217;82.509;/fr/marche/euronext-paris/amundi-stoxx-europe-600-techno-LU1834988518-TNO-EUR-XPAR/seance
EURONEXT;NL0006294274;Action;232938;137.0;/fr/marche/euronext-paris/euronext-NL0006294274-ENX-EUR-XPAR/seance
AB Science;FR0010557264;Action;10040;1.340;/fr/marche/euronext-paris/ab-science-FR0010557264-AB-EUR-XPAR/seance
Nokia Oyj;FI0009000681;Action;212611;4.314;/fr/marche/euronext-paris/nokia-oyj-FI0009000681-NOKIA-EUR-XPAR/seance
Exail Technologies;FR0000062671;Action;66152;41.10;/fr/marche/euronext-paris/exail-technologies-FR0000062671-EXA-EUR-XPAR/seance
Amundi PEA Immobilie...;FR0011869304;Tracker;6734;11.472;/fr/marche/euronext-paris/amundi-pea-immobilier-europe-FR0011869304-PMEH-EUR-XPAR/seance
Sartorius Stedim Bio...;FR0013154002;Action;118498;162.65;/fr/marche/euronext-paris/sartorius-stedim-biotech-FR0013154002-DIM-EUR-XPAR/seance
Sodexo;FR0000121220;Action;418158;55.75;/fr/marche/euronext-paris/sodexo-FR0000121220-SW-EUR-XPAR/seance
Amundi PEA MSCI Chin...;FR0011871078;Tracker;40799;8.990;/fr/marche/euronext-paris/amundi-pea-msci-china-esg-lead-FR0011871078-PASI-EUR-XPAR/seance
bioMérieux;FR0013280286;Action;149284;113.8;/fr/marche/euronext-paris/biomerieux-FR0013280286-BIM-EUR-XPAR/seance
SPIE SA;FR0012757854;Action;299931;38.22;/fr/marche/euronext-paris/spie-sa-FR0012757854-SPIE-EUR-XPAR/seance
Catana Group;FR0010193052;Action;30610;3.910;/fr/marche/euronext-paris/catana-group-FR0010193052-CATG-EUR-XPAR/seance
Nanobiotix;FR0011341205;Action;158679;2.950;/fr/marche/euronext-paris/nanobiotix-FR0011341205-NANO-EUR-XPAR/seance
Bénéteau;FR0000035164;Action;117219;7.390;/fr/marche/euronext-paris/beneteau-FR0000035164-BEN-EUR-XPAR/seance
PHAXIAM Therapeutics...;FR001400K4B1;Action;15098;0.674;/fr/marche/euronext-paris/phaxiam-therapeutics-s-a-FR001400K4B1-PHXM-EUR-XPAR/seance
